PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Prediction
817,0,3,0,23.0,0,0,7.925,1
818,0,2,1,31.0,1,1,37.0042,0
819,0,3,1,43.0,0,0,6.45,0
820,0,3,1,10.0,3,2,27.9,0
821,1,1,0,52.0,1,1,93.5,1
822,1,3,1,27.0,0,0,8.6625,0
823,0,1,1,38.0,0,0,0.0,0
824,1,3,0,27.0,0,1,12.475,1
825,0,3,1,2.0,4,1,39.6875,0
826,0,3,1,24.0,0,0,6.95,0
827,0,3,1,24.0,0,0,56.4958,0
828,1,2,1,1.0,0,2,37.0042,0
829,1,3,1,24.0,0,0,7.75,0
830,1,1,0,62.0,0,0,80.0,1
831,1,3,0,15.0,1,0,14.4542,1
832,1,2,1,0.83,1,1,18.75,0
833,0,3,1,24.0,0,0,7.2292,0
834,0,3,1,23.0,0,0,7.8542,0
835,0,3,1,18.0,0,0,8.3,0
836,1,1,0,39.0,1,1,83.1583,1
837,0,3,1,21.0,0,0,8.6625,0
838,0,3,1,24.0,0,0,8.05,0
839,1,3,1,32.0,0,0,56.4958,0
840,1,1,1,36.0,0,0,29.7,0
841,0,3,1,20.0,0,0,7.925,0
842,0,2,1,16.0,0,0,10.5,0
843,1,1,0,30.0,0,0,31.0,1
844,0,3,1,34.5,0,0,6.4375,0
845,0,3,1,17.0,0,0,8.6625,0
846,0,3,1,42.0,0,0,7.55,0
847,0,3,1,24.0,8,2,69.55,0
848,0,3,1,35.0,0,0,7.8958,0
849,0,2,1,28.0,0,1,33.0,0
850,1,1,0,36.0,1,0,89.1042,1
851,0,3,1,4.0,4,2,31.275,0
852,0,3,1,74.0,0,0,7.775,0
853,0,3,0,9.0,1,1,15.2458,1
854,1,1,0,16.0,0,1,39.4,1
855,0,2,0,44.0,1,0,26.0,1
856,1,3,0,18.0,0,1,9.35,1
857,1,1,0,45.0,1,1,164.8667,1
858,1,1,1,51.0,0,0,26.55,0
859,1,3,0,24.0,0,3,19.2583,1
860,0,3,1,24.0,0,0,7.2292,0
861,0,3,1,41.0,2,0,14.1083,0
862,0,2,1,21.0,1,0,11.5,0
863,1,1,0,48.0,0,0,25.9292,1
864,0,3,0,24.0,8,2,69.55,1
865,0,2,1,24.0,0,0,13.0,0
866,1,2,0,42.0,0,0,13.0,1
867,1,2,0,27.0,1,0,13.8583,1
868,0,1,1,31.0,0,0,50.4958,0
869,0,3,1,24.0,0,0,9.5,0
870,1,3,1,4.0,1,1,11.1333,0
871,0,3,1,26.0,0,0,7.8958,0
872,1,1,0,47.0,1,1,52.5542,1
873,0,1,1,33.0,0,0,5.0,0
874,0,3,1,47.0,0,0,9.0,0
875,1,2,0,28.0,1,0,24.0,1
876,1,3,0,15.0,0,0,7.225,1
877,0,3,1,20.0,0,0,9.8458,0
878,0,3,1,19.0,0,0,7.8958,0
879,0,3,1,24.0,0,0,7.8958,0
880,1,1,0,56.0,0,1,83.1583,1
881,1,2,0,25.0,0,1,26.0,1
882,0,3,1,33.0,0,0,7.8958,0
883,0,3,0,22.0,0,0,10.5167,1
884,0,2,1,28.0,0,0,10.5,0
885,0,3,1,25.0,0,0,7.05,0
886,0,3,0,39.0,0,5,29.125,1
887,0,2,1,27.0,0,0,13.0,0
888,1,1,0,19.0,0,0,30.0,1
889,0,3,0,24.0,1,2,23.45,1
890,1,1,1,26.0,0,0,30.0,0
891,0,3,1,32.0,0,0,7.75,0
